Name,Regions,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
China,Asia,299000000000,271000000000,311000000000,346000000000,359000000000,381000000000,425000000000,443000000000,562000000000,732000000000,861000000000,958000000000,1030000000000,1090000000000,1210000000000,1330000000000,1460000000000,1650000000000,1940000000000,2270000000000,2730000000000,3520000000000,4560000000000,5060000000000,6040000000000,7490000000000,2068969.071,2209708.531,2369501.723,2408540.605,2460744.017,2584538.27,2695982.067,2878694.009,3058241.33,3320285.15,3463089.131,3469510.048,3324344.519,3318055.614,3405179.867,3487566.356,3694242.143,4525177.009,5288166.032,5790016.984,6414463.08,6791804.714,7035443.861,7692210.895,8256969.232,9019518.215,16.73805,16.94955,17.16109,17.37263,17.58417,17.79573,18.00729,18.21883,18.43037,18.64191,18.85352,19.19526,19.53704,19.87881,20.22059,20.56238,20.72356,20.88475,21.04594,21.20713,21.36829,21.53259,21.69686,21.86113,22.18964,22.18964,4.435049,5.435049,6.435049,7.094825,8.291803,10.43181,12.41712,13.12418,15.3564,17.1996,18.98438,20.95652,23.66571,27.37925,30.06446,30.8436,30.51443,26.66237,25.56531,27.53404,27.5127,25.80795,26.27401,26.96549,25.37201,28.37201,1140000000,1150000000,1160000000,1180000000,1190000000,1200000000,1220000000,1230000000,1240000000,1250000000,1260000000,1270000000,1280000000,1290000000,1300000000,1300000000,1310000000,1320000000,1320000000,1330000000,1340000000,1340000000,1350000000,1360000000,1360000000,1360000000
Japan,Asia,2050000000000,2490000000000,3020000000000,3020000000000,3100000000000,3540000000000,3850000000000,4410000000000,4850000000000,5330000000000,4710000000000,4320000000000,3910000000000,4430000000000,4730000000000,4160000000000,3980000000000,4300000000000,4660000000000,4570000000000,4360000000000,4360000000000,4850000000000,5040000000000,5500000000000,5910000000000,915334.538,905734.332,989081.575,1025549.89,1094287.805,1099883.647,1123000.415,1108248.074,1173883.707,1183755.271,1205408.906,1201378.873,1158779.334,1197873.221,1219453.516,1202181.946,1216725.268,1237344.809,1259328.474,1237623.501,1230898.223,1250758.695,1206732.693,1101027.751,1168918.589,1187656.959,68.43116,68.41086,68.39057,68.37027,68.34997,68.32968,68.32812,68.30782,68.28752,68.26722,68.24691,68.27929,68.31166,68.34403,68.37641,68.40878,68.42579,68.4428,68.45981,68.47682,68.48443,68.4791,68.47378,68.46939,68.46061,68.46061,30.46273,32.46273,27.49116,30.28623,31.53845,35.02838,58.46382,66.50707,71.96563,74.99461,72.62686,71.89985,74.17846,73.63732,72.63332,70.78543,67.70992,68.8998,66.3096,65.53303,55.25732,46.35192,48.85869,49.23797,48.99664,47.99664,124000000,124000000,124000000,125000000,125000000,125000000,126000000,126000000,126000000,127000000,127000000,127000000,127000000,128000000,128000000,128000000,128000000,128000000,128000000,128000000,128000000,128000000,128000000,127000000,127000000,127000000
Philippines,Asia,29868363901,33195974365,37885485203,42575217415,44311595230,45417561302,52976344929,54368083953,64084460124,74119987245,82848140618,82344260571,72207025219,82995147090,81026297144,76262072022,81357602950,83908206456,91371239765,103000000000,122000000000,149000000000,174000000000,168000000000,200000000000,224000000000,29207.655,32683.971,37729.763,39141.558,41763.463,43930.66,48752.765,49482.498,54799.648,60710.852,62162.984,71158.135,69240.294,69159.62,73306.997,71051.792,71337.818,71532.169,74066.066,74832.469,67692.82,69669.333,75943.57,74784.798,81700.76,82012.455,21.9841,22.1424,22.3007,22.459,22.6173,22.7756,22.9339,23.0922,23.25049,23.40879,23.56709,23.59862,23.63014,23.66167,23.6932,23.72472,23.56776,23.41081,23.25385,23.09689,22.93993,23.74484,24.54975,25.35466,25.35466,26.96448,4.123836,3.664044,3.530166,2.641651,3.626522,5.126781,4.099665,4.058268,3.934436,4.797287,6.229094,7.80107,7.204363,8.500073,8.683515,8.863356,8.90436,8.167857,7.777797,4.104972,3.510942,3.68837,4.138966,4.308845,4.375048,4.308845,61947340,63509940,65078901,66654954,68240134,69835713,71437381,73042605,74656228,76285225,77932247,79604541,81294378,82971734,84596249,86141373,87592899,88965508,90297115,91641881,93038902,94501233,96017322,97571676,99138690,100138690
Iran,Asia,209000000000,134000000000,123000000000,120000000000,125000000000,1350000000000,1.56E+015,63743623232,71841461173,96419225744,120000000000,114000000000,110000000000,114000000000,110000000000,127000000000,129000000000,154000000000,184000000000,220000000000,259000000000,337000000000,397000000000,399000000000,468000000000,592000000000,148568.505,159741.854,176283.691,191344.06,211134.859,228036.062,229073.823,237768.28,265824.497,273528.864,276726.488,269979.208,309230.776,382713.789,372702.879,398826.587,402178.225,418859.408,447480.343,469328.329,509889.016,521187.043,546394.001,557039.302,571604.626,586598.989,5.573056,5.588419,5.603746,5.619072,5.634399,5.649725,5.665052,5.680378,5.695705,5.711031,5.726567,5.894151,6.061951,6.229744,6.397544,6.56535,6.565337,6.565337,6.565337,6.565337,6.56535,6.565337,6.565337,6.565337,6.565337,6.56535,10.65332,11.25484,11.6974,11.98241,13.02211,16.01865,17.0432,18.54947,19.79187,19.2902,19.35172,18.63987,15.50389,16.84706,16.85209,14.025,14.50622,7.479951,11.11546,17.62325,14.66321,13.98003,15.8457,15.60532,16.01279,13.98003,56169196,57288039,58130099,58811858,59501292,60318632,61306632,62426086,63616065,64780362,65850062,66812736,67696677,68522074,69321953,70122115,70923164,71720859,72530693,73370982,74253373,75184322,76156975,77152445,78143644,80143644
Singapore,Asia,18569643987,20897470244,25337427488,30423195895,36152800270,45474442836,52156414979,60644572348,73777792327,87890009877,96403758865,100000000000,85707636233,86283126844,95833932715,89286208629,91941192896,97001377569,114000000000,127000000000,148000000000,180000000000,192000000000,192000000000,236000000000,275000000000,35027.184,32599.63,36105.282,41888.141,46941.267,47425.311,50267.236,54627.299,65367.942,47109.949,55305.694,69240.294,57293.208,50069.218,49005.788,49541.17,47230.96,31132.83,28474.255,30359.093,30799.133,18195.654,23846.501,23831.833,13479.892,22394.369,23.8806,24.40299,24.40299,24.40299,24.40299,24.40299,24.40299,24.40299,24.40299,24.40299,23.8806,24.40299,24.22222,23.79913,23.73004,23.22206,23.55908,23.52518,23.35714,23.35714,22.79202,23.22443,23.15864,23.12588,22.63083,22.63083,39.89389,40.54177,44.79652,47.50311,50.65898,54.14704,55.71437,57.01659,59.06706,60.89938,62.79495,60.9493,60.62664,56.54326,56.87615,56.89331,58.07082,45.21033,49.38404,48.142,49.90866,45.15697,45.28922,46.99437,47.1824,49.1824,3047132,3135083,3230698,3313471,3419048,3524506,3670704,3796038,3927213,3958723,4027887,4138012,4175950,4114826,4166664,4265762,4401365,4588599,4839396,4987573,5076732,5183688,5312437,5399162,5469724,5499724
Thailand,Asia,43096774497,50535445680,61667254411,72250747142,85343189321,98234695722,111000000000,129000000000,147000000000,169000000000,183000000000,150000000000,114000000000,127000000000,126000000000,120000000000,134000000000,152000000000,173000000000,189000000000,222000000000,263000000000,291000000000,282000000000,341000000000,371000000000,49702.518,56944.843,67003.424,78891.838,95833.378,105235.566,115187.804,130735.884,145469.89,167585.567,186965.662,193096.886,171065.55,182810.951,188355.455,202132.374,215975.299,232198.107,252344.605,256169.286,264181.681,265061.761,264753.733,279403.398,298141.768,303370.91,27.41295,28.00133,28.58972,29.1781,29.76649,30.35487,30.94326,31.53164,32.12003,32.70841,33.2968,32.94016,32.58353,32.2269,31.87027,31.51363,31.57196,31.63029,31.68862,31.74695,31.80528,31.864,31.92272,31.98144,31.864,32.09889,20.87118,20.83936,22.03818,20.65334,23.72078,24.54088,29.15229,30.76462,34.41864,32.40021,33.35913,31.51139,30.77736,30.30814,28.13184,26.67177,27.39161,25.95792,24.55437,25.34038,24.0166,20.74202,20.54185,20.09333,20.43144,20.54185,56582824,57225972,57761574,58237672,58722767,59266089,59878955,60544937,61250974,61973957,62693322,63415174,64136669,64817254,65404522,65863973,66174486,66353572,66453255,66548197,66692024,66902958,67164130,67451422,67725979,67625979
Korea,Asia,120000000000,151000000000,202000000000,249000000000,285000000000,332000000000,356000000000,392000000000,459000000000,559000000000,603000000000,560000000000,376000000000,486000000000,562000000000,533000000000,609000000000,681000000000,765000000000,898000000000,1010000000000,1120000000000,1000000000000,902000000000,1090000000000,1200000000000,182451.585,192660.513,221959.843,235846.772,246943.114,261482.769,284280.508,321951.599,344037.94,374771.067,403780.704,430032.757,364833.497,399864.348,447561.017,450193.923,465631.993,466215.046,482276.506,462922.08,470655.783,495675.724,507589.807,508862.256,566716.515,589426.246,66.03774,65.95273,65.86772,65.78271,65.6977,65.61269,65.52768,65.44267,65.35766,65.27265,65.18764,64.93074,64.82901,64.75413,64.67259,64.58441,64.49628,64.40157,64.26054,64.14624,63.99259,63.91443,63.75758,63.60372,63.60372,63.44777,18.03506412,19.34141797,19.7675874,20.24822702,22.65468425,26.02948933,24.06843678,26.63634319,27.07512644,32.14623669,35.06590914,29.78481845,31.52977881,32.3161911,32.91734928,32.47640858,32.14585123,30.54460905,27.59875522,28.73409455,29.46593215,25.7213172,26.17347489,27.09934491,26.88054979,26.66175467,42869283,43295704,43747962,44194628,44641540,45092991,45524681,45953580,46286503,46616677,47008111,47357362,47622179,47859311,48039415,48138077,48371946,48597652,48948698,49182038,49410366,49779440,50004441,50219669,50423955,51023955
India,Asia,253000000000,284000000000,302000000000,301000000000,327000000000,275000000000,293000000000,284000000000,333000000000,367000000000,400000000000,423000000000,429000000000,467000000000,477000000000,494000000000,524000000000,618000000000,722000000000,834000000000,949000000000,1240000000000,1220000000000,1370000000000,1710000000000,1840000000000,525862.468,561560.713,606298.113,662945.929,690576.774,737851.738,783634.233,814297.687,864931.623,920046.633,1002224.103,1043939.895,1071911.771,1144390.026,1186663.202,1203843.097,1226791.183,1281913.527,1348524.582,1411127.606,1504364.748,1611199.126,1793074.992,1965820.028,1950950.343,2074344.893,21.50518,21.55399,21.60279,21.65159,21.7004,21.7492,21.798,21.8468,21.89561,21.94441,21.99321,22.14921,22.3052,22.46119,22.61719,22.77318,22.91317,23.05315,23.19314,23.33312,23.4731,23.53311,23.59311,23.65311,23.4731,23.77312,3.943481192,4.692855613,4.046947719,4.248778709,4.783519764,5.804881032,6.872112979,6.538267884,5.619516933,5.742129277,6.255549228,6.970229303,6.237803011,5.947717493,5.998070281,5.803803052,6.072403224,6.403290331,6.777733191,9.093724449,7.180548755,6.8707993,6.632256486,8.073939853,8.586259881,9.098579909,871000000,889000000,906000000,924000000,943000000,961000000,979000000,998000000,1020000000,1030000000,1050000000,1070000000,1090000000,1110000000,1130000000,1140000000,1160000000,1180000000,1200000000,1210000000,1230000000,1250000000,1260000000,1280000000,1300000000,1340000000
Algeria,Afica,63696299981,66742269086,59089065518,55631488295,62045098375,45715367087,48003298223,49946455211,42542571306,41764052458,46941496780,48177862502,48187747529,48640611686,54790060513,54744714110,56760288396,67863829705,85324998959,103000000000,117000000000,135000000000,171000000000,137000000000,161000000000,200000000000,76277.267,84120.98,83948.631,80046.943,78924.841,81220.383,81935.448,82294.814,86500.863,95345.667,97131.496,88195.017,107080.067,92118.707,87930.993,84293.329,90853.592,92533.078,89493.135,107127.738,100919.507,109294.935,111575.809,121374.033,119276.509,121755.401,0.699908,0.696214,0.692519,0.688824,0.685129,0.681435,0.67774,0.674045,0.67035,0.666655,0.662961,0.65935,0.655739,0.652128,0.648517,0.644907,0.676984,0.709061,0.741139,0.773216,0.805294,0.808485,0.811675,0.814866,0.821248,0.821248,1.044134562,1.332592302,1.267021123,1.621050043,0.816186621,0.482299465,0.367838705,1.170936851,0.89225619,4.442396541,4.166833432,0.615530032,1.058630887,2.286790119,1.046032703,1.484616118,1.621560789,0.716136566,0.656696365,0.625863298,0.504620349,0.161139885,0.130478689,0.192235191,0.154142442,0.116049693,25912364,26554277,27180921,27785977,28362015,28904300,29411839,29887717,30336880,30766551,31183658,31590320,31990387,32394886,32817225,33267887,33749328,34261971,34811059,35401790,36036159,36717132,37439427,38186135,38934334,39034334
